Column,Unique Count,Unique Values
Diabetes_binary,2,"[0, 1]"
HighBP,2,"[0, 1]"
HighChol,2,"[0, 1]"
CholCheck,2,"[0, 1]"
BMI,84,"[12, ..., 98] (Total: 84 values)"
Smoker,2,"[0, 1]"
Stroke,2,"[0, 1]"
HeartDiseaseorAttack,2,"[0, 1]"
PhysActivity,2,"[0, 1]"
Fruits,2,"[0, 1]"
Veggies,2,"[0, 1]"
HvyAlcoholConsump,2,"[0, 1]"
AnyHealthcare,2,"[0, 1]"
NoDocbcCost,2,"[0, 1]"
GenHlth,5,"[1, 2, 3, 4, 5]"
MentHlth,31,"[0, ..., 30] (Total: 31 values)"
PhysHlth,31,"[0, ..., 30] (Total: 31 values)"
DiffWalk,2,"[0, 1]"
Sex,2,"[0, 1]"
Age,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]"
Education,6,"[1, 2, 3, 4, 5, 6]"
Income,8,"[1, 2, 3, 4, 5, 6, 7, 8]"
