Threshold,Accuracy,Precision,Recall,F1-score,True Positives,False Negatives,False Positives,True Negatives,Evaluation_Split
0.01,0.2943077893409019,0.16433915648928527,0.9950489797361813,0.28208932778585394,28137,140,143076,31591,Development OOF
0.02,0.3914035398927783,0.18454281663641303,0.9851115747780882,0.3108529597205716,27856,421,123090,51577,Development OOF
0.03,0.45187835067801957,0.19959299251888385,0.9746437033631573,0.33133362988254245,27560,717,110521,64146,Development OOF
0.04,0.49629454430778935,0.2117458114713839,0.9604979311808184,0.34699509403107115,27160,1117,101107,73560,Development OOF
0.05,0.5336693866288237,0.22327489867062533,0.9467765321639495,0.36133699547181525,26772,1505,93134,81533,Development OOF
0.06,0.5659640097760958,0.2341015791720017,0.9310747250415532,0.37413404764780694,26328,1949,86136,88531,Development OOF
0.07,0.595164183222958,0.24507002271006814,0.9159033843759946,0.38667632150615494,25899,2378,79781,94886,Development OOF
0.08,0.6199789104383475,0.2551578947368421,0.9000954839622308,0.3976036304841947,25452,2825,74298,100369,Development OOF
0.09,0.6418765767896563,0.26468031883320614,0.8830851929129682,0.4072874956165746,24971,3306,69373,105294,Development OOF
0.1,0.6611183380637023,0.27359534857717893,0.8653322488241327,0.41574350958271034,24469,3808,64966,109701,Development OOF
0.11,0.6791824345632292,0.282736164037706,0.8475085758743856,0.424016702347883,23965,4312,60796,113871,Development OOF
0.12,0.6954578602964364,0.2914666003234233,0.828623970010963,0.43124407593841735,23431,4846,56959,117708,Development OOF
0.13,0.7102057710501419,0.2999777279932922,0.8097393641475404,0.43777603579144597,22897,5380,53432,121235,Development OOF
0.14,0.7236774676758121,0.3085673364273615,0.7923754287937192,0.44416691446129447,22406,5871,50207,124460,Development OOF
0.15,0.7368633711762851,0.31754607642368526,0.7732079074866499,0.45020076186554103,21864,6413,46989,127678,Development OOF
0.16,0.7486548013245033,0.3261015911872705,0.7537574707359338,0.45524739152258187,21314,6963,44046,130621,Development OOF
0.17,0.7589187164932198,0.33398189390406663,0.7345192205679527,0.45917803373643135,20770,7507,41419,133248,Development OOF
0.18,0.7684238016398612,0.341710072380437,0.7145736817908548,0.4623322541157089,20206,8071,38926,135741,Development OOF
0.19,0.7770862898139388,0.3491837678272931,0.6944159564310217,0.46469690336169256,19636,8641,36598,138069,Development OOF
0.2,0.7851525543992431,0.35687468479742984,0.6756728082894224,0.4670594274818491,19106,9171,34431,140236,Development OOF
0.21,0.7928344765058342,0.3648855561226493,0.6573540333132935,0.46928135926987213,18588,9689,32354,142313,Development OOF
0.22,0.799496412803532,0.37212608158220023,0.6387877073239735,0.4702865251181379,18063,10214,30477,144190,Development OOF
0.23,0.8057542967518133,0.3794982698961938,0.6205750256392121,0.4709797764268556,17548,10729,28692,145975,Development OOF
0.24,0.812160004730369,0.3878151068970233,0.6017257842062453,0.4716497345844132,17015,11262,26859,147808,Development OOF
0.25,0.8175309444970041,0.3951817615786197,0.5835838313823956,0.47125008924109374,16502,11775,25256,149411,Development OOF
0.26,0.822591453800063,0.4026605527701494,0.5651943275453549,0.470280131826742,15982,12295,23709,150958,Development OOF
0.27,0.8272134184799748,0.40997215223445166,0.5466633659864908,0.4685520293413355,15458,12819,22247,152420,Development OOF
0.28,0.8313672737306843,0.4168112373384073,0.5267885560703045,0.465390924002187,14896,13381,20842,153825,Development OOF
0.29,0.8349495427309996,0.4228620414437317,0.5058881776708987,0.46066402602003026,14305,13972,19524,155143,Development OOF
0.3,0.8387781851151056,0.430546000375258,0.4868974785161085,0.456991121068791,13768,14509,18210,156457,Development OOF
0.31,0.8421190081993062,0.4377480815030431,0.46801287265268593,0.4523748483139346,13234,15043,16998,157669,Development OOF
0.32,0.8452085304320404,0.44507091577657154,0.449446546663366,0.44724802927927926,12709,15568,15846,158821,Development OOF
0.33,0.8484064569536424,0.4539088551315302,0.43324963751458784,0.44333870121410607,12251,16026,14739,159928,Development OOF
0.34,0.8514713418479974,0.4631691141639034,0.41493086253845884,0.4377250088604525,11733,16544,13599,161068,Development OOF
0.35,0.8538710186061179,0.4710913588528783,0.3973547406019026,0.4310926949048496,11236,17041,12615,162052,Development OOF
0.36,0.8556301245663829,0.47724236216264365,0.3789652367648619,0.42246358242494725,10716,17561,11738,162929,Development OOF
0.37,0.8577341532639546,0.4859171597633136,0.3630158786292747,0.4155702198291567,10265,18012,10860,163807,Development OOF
0.38,0.8590793519394513,0.4918834442427909,0.34505074795770413,0.4055868476295388,9757,18520,10079,164588,Development OOF
0.39,0.8603112188584043,0.4980783602007046,0.3299855005835131,0.3969709216991768,9331,18946,9403,165264,Development OOF
0.4,0.8616071428571429,0.5054320004550367,0.31424832903066097,0.3875441580531205,8886,19391,8695,165972,Development OOF
0.41,0.8627897350993378,0.5130820129909549,0.2989001662128231,0.37774301675977656,8452,19825,8021,166646,Development OOF
0.42,0.863937835067802,0.5216936748562467,0.2823496127594865,0.3663982010509167,7984,20293,7320,167347,Development OOF
0.43,0.864617825607064,0.5281443009545199,0.2661173391802525,0.35390946502057613,7525,20752,6723,167944,Development OOF
0.44,0.8651844843897823,0.5347006735790509,0.24984970117056265,0.3405639913232104,7065,21212,6148,168519,Development OOF
0.45,0.8658004178492589,0.542607131174354,0.23464299607454822,0.3276138748302679,6635,21642,5593,169074,Development OOF
0.46,0.866086210974456,0.5488454706927176,0.2185521802171376,0.3126185598300326,6180,22097,5080,169587,Development OOF
0.47,0.8666528697571744,0.5585880991416723,0.20483078120026876,0.29974641618796255,5792,22485,4577,170090,Development OOF
0.48,0.8667908388520972,0.5646654874622828,0.19192276408388442,0.28647592905405406,5427,22850,4184,170483,Development OOF
0.49,0.866978082623778,0.5726602382302893,0.17851964494111822,0.27218807289981667,5048,23229,3767,170900,Development OOF
0.5,0.8671061967833491,0.5806093499444924,0.16646037415567422,0.2587401055408971,4707,23570,3400,171267,Development OOF
0.51,0.8671111242510249,0.5883067782878747,0.1540828234961276,0.24420592438976543,4357,23920,3049,171618,Development OOF
0.52,0.8673082229580574,0.5990885033813584,0.1441100541075786,0.2323327346845691,4075,24202,2727,171940,Development OOF
0.53,0.8671160517187008,0.6043693190878647,0.13403119142766207,0.21940488595577168,3790,24487,2481,172186,Development OOF
