Variable,Description,Coefficient,Std_Error,z_statistic,p_value,Odds_Ratio,OR_95_CI_Lower,OR_95_CI_Upper,VIF,Holm_p_value,Reject_Holm
CholCheck,Cholesterol Check (5 Years),1.2439989119706103,0.06858244086193438,18.138737792592515,1.5760939309014927e-73,3.4694598255499005,3.0330836185451195,3.968618407849439,1.032821537640755,2.2065315032620897e-72,True
HighBP,High Blood Pressure,0.7575653428974972,0.014758061132887282,51.33230822640497,0.0,2.1330765833446623,2.072260570793661,2.195677403962145,1.3306844116606815,0.0,True
HighChol,High Cholesterol,0.5785156824509039,0.013593928550208969,42.55691651711755,0.0,1.783389349089521,1.7365008315789516,1.8315439374446056,1.1733132418141967,0.0,True
GenHlth,Self-Rated General Health,0.5359461126350622,0.008137356652820338,65.86243365028223,0.0,1.709064445044304,1.6820229176002646,1.7365407134177657,1.7958923562116746,0.0,True
Sex,Biological Sex,0.2581335232979375,0.013457378311347003,19.181561023686484,5.277199181412499e-82,1.2945116545505035,1.2608140029763093,1.3291099399366124,1.0750596256864142,7.915798772118749e-81,True
HeartDiseaseorAttack,Heart Disease or Attack History,0.22042244602007402,0.017801055799848312,12.382549018353862,3.2485857427881377e-35,1.2466032419464081,1.2038599478844885,1.290864145420016,1.171917212028981,3.898302891345765e-34,True
Stroke,Stroke History,0.13417965235874105,0.025101156644211774,5.345556551860423,9.013964820655861e-08,1.143598251314253,1.0886977849994157,1.2012672189001647,1.081070129319349,8.112568338590275e-07,True
Age,Age Category (13 levels),0.12364462348951287,0.0027973994484748197,44.199845523286136,0.0,1.1316136506231933,1.1254262145886067,1.137835104316322,1.3499940172965463,0.0,True
DiffWalk,Difficulty Walking or Climbing Stairs,0.12319056148405665,0.016979236909122394,7.255365016897217,4.005800835374151e-13,1.1310999444956331,1.0940778569055083,1.1693748085320408,1.5339023400939087,4.005800835374151e-12,True
AnyHealthcare,Healthcare Coverage Access,0.0826594018123558,0.03346586993467259,2.469961246299946,0.013512769009817642,1.0861717973935883,1.0172139840157586,1.1598043204200987,1.113103942298708,0.05405107603927057,False
BMI,BMI,0.060867284109158884,0.0009004198058415776,67.59878416076073,0.0,1.0627578599711998,1.060883969111225,1.0646350607755768,1.1397240149645973,0.0,True
NoDocbcCost,Doctor Cost Barrier,0.01795718009445255,0.023027794869701964,0.7798045881535577,0.4355059053156065,1.018119379680723,0.9731894890872679,1.0651235786091697,1.1441583111731806,0.8625827095643028,False
MentHlth,MentHlth,-0.003631697590949038,0.0008538994883474784,-4.2530738576472675,2.108559931439157e-05,0.9963748890467757,0.9947087384671821,0.9980438304511067,1.2392968063578202,0.00014759919520074098,True
PhysHlth,PhysHlth,-0.007406718621641,0.0007834475865889056,-9.454006558230025,3.2610378380634153e-21,0.9926206435224857,0.9910976153115535,0.9941460121839402,1.623288017941176,3.587141621869757e-20,True
Smoker,Tobacco Smoker Status,-0.010390175537276855,0.013202528000324149,-0.7869837910604511,0.4312913547821514,0.9896636158746371,0.964383101692393,1.0156068380576717,1.091786652212585,0.8625827095643028,False
Education,Education Level (6 levels),-0.030825079216402963,0.006970699815235898,-4.422092477577131,9.774959925651552e-06,0.9696451693354695,0.9564876519521563,0.9829836825354445,1.326389605410966,7.819967940521242e-05,True
Veggies,Vegetable Consumption Daily,-0.03315130170723444,0.01591435839920361,-2.0831063920800856,0.03724152687055899,0.9673921804271388,0.9376834399420971,0.9980421866140277,1.112385484404423,0.11172458061167698,False
Fruits,Fruit Consumption Daily,-0.04993228191852998,0.013691460620316188,-3.646965309489153,0.0002653557328313818,0.951293842113473,0.9261055632622326,0.9771671933977663,1.1125333992442583,0.0015921343969882906,True
Income,Income Bracket (8 levels),-0.051486317010410045,0.003569857493472748,-14.422513252853769,3.734904746825692e-47,0.949816646204568,0.943194171637562,0.9564856193300992,1.5039312183129028,4.8553761708734e-46,True
PhysActivity,Physical Activity Indicator,-0.05180511863722084,0.014445329655987285,-3.586288431690357,0.00033541795509822774,0.9495138913745164,0.923007937807846,0.9767810145321516,1.1573105291580073,0.0016770897754911386,True
HvyAlcoholConsump,Heavy Alcohol Consumption,-0.7691727833922593,0.03853036187499883,-19.96277081143512,1.1609338606378942e-88,0.4633962388716118,0.42969015277360023,0.49974632375040334,1.0240588832115414,1.8574941770206306e-87,True
