Variable,Description,Chi2 Statistic,p-value,Degrees of Freedom,Cramér's V,Effect_Size,Effect_Size_Type,Effect Size Interpretation,Min Diabetes Rate (%),Max Diabetes Rate (%),Max Difference (%),Holm_p_value,Reject_Holm
GenHlth,Self-Rated General Health,22728.069055166736,0.0,4,0.2993216672450668,0.2993216672450668,Cramér's V,Moderate,2.5166118457361093,37.89421405512789,35.37760220939178,0.0,True
HighBP,High Blood Pressure,17562.446089970756,0.0,1,0.26311729006893114,0.26311729006893114,Cramér's V,Moderate,6.035167171783419,24.445690027474296,18.41052285569088,0.0,True
DiffWalk,Difficulty Walking or Climbing Stairs,12092.319740590498,0.0,1,0.21832913620924457,0.21832913620924457,Cramér's V,Moderate,10.532925760053079,30.746338605741062,20.213412845687984,0.0,True
HighChol,High Cholesterol,10174.074889118883,0.0,1,0.20026467516249455,0.20026467516249455,Cramér's V,Moderate,7.981435973961079,22.014852543428354,14.033416569467274,0.0,True
Age,Age Category (13 levels),8795.050613599169,0.0,12,0.1861984481259515,0.1861984481259515,Cramér's V,Small,1.368421052631579,21.845918497429142,20.477497444797564,0.0,True
HeartDiseaseorAttack,Heart Disease or Attack History,7971.155840643359,0.0,1,0.17726277159884543,0.17726277159884543,Cramér's V,Small,11.953678841709932,32.97200016741305,21.01832132570312,0.0,True
Income,Income Bracket (8 levels),7003.715090707579,0.0,7,0.166157948278278,0.166157948278278,Cramér's V,Small,7.96039165790784,26.190274123737588,18.229882465829746,0.0,True
Education,Education Level (6 levels),4027.112281861301,0.0,5,0.12599512878119457,0.12599512878119457,Cramér's V,Small,9.69019333799208,29.260450160771708,19.570256822779626,0.0,True
PhysActivity,Physical Activity Indicator,3539.4193699366724,0.0,1,0.11811985281570916,0.11811985281570916,Cramér's V,Small,11.612651104626929,21.144753886010363,9.532102781383434,0.0,True
Stroke,Stroke History,2838.91654723932,0.0,1,0.10578721858844647,0.10578721858844647,Cramér's V,Small,13.17977878942265,31.75281772250291,18.573038933080262,0.0,True
CholCheck,Cholesterol Check (5 Years),1062.9381436620106,3.7513988789188705e-233,1,0.06473078614867715,0.06473078614867715,Cramér's V,Weak,2.544878563885956,14.374923221817287,11.830044657931332,3.376258991026983e-232,True
Smoker,Tobacco Smoker Status,937.0557592033365,8.640171809942516e-206,1,0.06077704806196469,0.06077704806196469,Cramér's V,Weak,12.055331771168861,16.292929382777547,4.237597611608686,6.912137447954013e-205,True
HvyAlcoholConsump,Heavy Alcohol Consumption,825.1187559262196,1.8659318101056406e-181,1,0.05703154213964547,0.05703154213964547,Cramér's V,Weak,5.836139169472503,14.415430366212242,8.579291196739739,1.3061522670739485e-180,True
Veggies,Vegetable Consumption Daily,811.8059748359335,1.4630291539062376e-178,1,0.05656958688224725,0.05656958688224725,Cramér's V,Weak,12.988666009201278,17.9978678484082,5.0092018392069235,8.778174923437426e-178,True
Fruits,Fruit Consumption Daily,421.61153890191144,1.0881213885155634e-93,1,0.04076741080508834,0.04076741080508834,Cramér's V,Negligible,12.860942957650186,15.79293397426225,2.931991016612063,5.440606942577818e-93,True
Sex,Biological Sex,250.4136677541282,2.1098747365768505e-56,1,0.03141853279120468,0.03141853279120468,Cramér's V,Negligible,12.967867355994759,15.160331584695541,2.192464228700782,6.329624209730552e-56,True
NoDocbcCost,Doctor Cost Barrier,250.3137525738294,2.218395410122378e-56,1,0.031412264160595095,0.031412264160595095,Cramér's V,Negligible,13.603298812875012,17.523648965065096,3.9203501521900836,6.329624209730552e-56,True
AnyHealthcare,Healthcare Coverage Access,66.81237194302645,2.986181073970452e-16,1,0.01622875973310578,0.01622875973310578,Cramér's V,Negligible,11.452041555931384,14.061003966625632,2.6089624106942484,2.986181073970452e-16,True
