Variable,SHAP_Importance,p-value,Effect_Size,Effect_Size_Type,Stat_Interpretation,SHAP_Rank,Stat_Rank,Consistency_Group
GenHlth,0.54129773,0.0,0.2815748218532549,Cramér's V,Moderate,1,2,Group 1: Strong Agreement (Significant & High SHAP)
HighBP,0.49943668,0.0,0.2543058668522422,Cramér's V,Moderate,2,3,Group 1: Strong Agreement (Significant & High SHAP)
Age,0.38678536,0.0,0.1891243617862809,Cramér's V,Small,3,7,Group 1: Strong Agreement (Significant & High SHAP)
BMI,0.37937537,0.0,0.3490390022699643,Abs Rank-Biserial,Medium,4,1,Group 1: Strong Agreement (Significant & High SHAP)
HighChol,0.2795023,0.0,0.1949319185956483,Cramér's V,Small,5,6,Group 1: Strong Agreement (Significant & High SHAP)
Sex,0.11609741,2.4197839454991876e-55,0.032711964266193,Cramér's V,Negligible,6,17,Group 1: Strong Agreement (Significant & High SHAP)
Income,0.10524958,0.0,0.1421546175364323,Cramér's V,Small,7,9,Group 1: Strong Agreement (Significant & High SHAP)
MentHlth,0.08268412,1.1018982373056865e-19,0.0255606181450775,Abs Rank-Biserial,Negligible,8,18,Group 1: Strong Agreement (Significant & High SHAP)
CholCheck,0.07434168,3.1386083621362587e-264,0.0724926789671642,Cramér's V,Weak / Very Small,9,13,Group 1: Strong Agreement (Significant & High SHAP)
HvyAlcoholConsump,0.068794936,6.906569461487025e-219,0.0659246839973041,Cramér's V,Weak / Very Small,10,14,Group 1: Strong Agreement (Significant & High SHAP)
HeartDiseaseorAttack,0.06070928,0.0,0.1681932861843719,Cramér's V,Small,11,8,Group 2: Under-represented (Significant & Low SHAP)
DiffWalk,0.043657813,0.0,0.2052866202664365,Cramér's V,Moderate,12,4,Group 2: Under-represented (Significant & Low SHAP)
PhysHlth,0.029215299,0.0,0.1951438881431557,Abs Rank-Biserial,Small,13,5,Group 2: Under-represented (Significant & Low SHAP)
Education,0.025493108,0.0,0.1045519451810786,Cramér's V,Small,14,10,Group 2: Under-represented (Significant & Low SHAP)
Stroke,0.020577962,0.0,0.0991640379949677,Cramér's V,Weak / Very Small,15,12,Group 2: Under-represented (Significant & Low SHAP)
Smoker,0.01758532,2.753228537313405e-105,0.0454918535217922,Cramér's V,Negligible,16,15,Group 2: Under-represented (Significant & Low SHAP)
PhysActivity,0.009710668,0.0,0.1003906471990697,Cramér's V,Small,17,11,Group 2: Under-represented (Significant & Low SHAP)
NoDocbcCost,0.009259784,8.487774987513059e-22,0.0200274243422375,Cramér's V,Negligible,18,21,Group 2: Under-represented (Significant & Low SHAP)
Fruits,0.008814316,1.565008448239026e-32,0.0247929093201825,Cramér's V,Negligible,19,20,Group 2: Under-represented (Significant & Low SHAP)
AnyHealthcare,0.00780271,8.100957411234124e-34,0.0253045499897131,Cramér's V,Negligible,20,19,Group 2: Under-represented (Significant & Low SHAP)
Veggies,0.006193219,7.478661503930398e-89,0.0417187801756885,Cramér's V,Negligible,21,16,Group 2: Under-represented (Significant & Low SHAP)
